Well,Source,Flow Rate,Temperature,Power,Transmissivity,Permeability,Thickness,Porosity,Top_Depth,Net_to_Gross,Heat_in_Place,Injection_Score,Injection_Rank
REINJ-01,ThermoGIS Reinjection Corridor,192.0,55.0,5.3,31.1,307.0,117.0,21.0,1211.0,0.96,,1.0,1
VRE-01,ThermoGIS Scout,102.0,79.0,5.2,8.5,69.0,138.0,17.0,1929.0,0.96,,0.34098208861820123,2
ZST-01,ThermoGIS Scout,84.0,79.0,4.2,7.0,71.0,112.0,17.0,1924.0,0.98,,0.29004426458728283,3
BKN-01,ThermoGIS Scout,79.0,80.0,4.0,6.1,53.0,129.0,16.0,2030.0,0.97,,0.25603592684625615,4
ODK-01,ThermoGIS Scout,75.0,81.0,3.8,6.0,63.0,109.0,17.0,1986.0,0.98,,0.2546928677849115,5
JUT-01,Official Dataset,55.0,72.0,2.3,4.8,40.0,125.0,11.0,1776.0,0.99,21.9,0.18916654992825496,6
