,LCoE,CAPEX,Energy,Lifetime,Discount
count,10000.0,10000.0,10000.0,10000.0,10000.0
mean,80.78346051925797,41.596622817134794,58017.00261526198,30.0235,0.060150945677715104
std,10.742588399080601,3.218041118696424,4105.611358958486,4.093729792299588,0.008099291750285242
min,52.286219236023086,31.142541928152692,44641.45698673184,25.0,0.040128118572876764
25%,73.22767427856598,39.33777196674171,55096.62945342991,25.0,0.05438248364760991
50%,80.11831211242907,41.506084796902456,58295.381790575564,30.0,0.06022875810743816
75%,87.63449456158392,43.76039096818749,61016.332143668464,35.0,0.0660734737492304
max,124.03824246260763,52.72739680069595,69226.20687344855,35.0,0.07965683825867252
